subway,운정역,,37.72603277,126.7672086,,1278,,경의선,,,경기도 파주시 상지석동 1002-1,경기도,파주시,상지석동,1002-1
subway,금릉역,,37.75161717,126.7657663,,1279,,경의선,,,경기도 파주시 금촌동 978-13,경기도,파주시,금촌동,978-13
subway,금촌역,,37.76568895,126.774347,,1280,,경의선,,경기도 파주시 새꽃로 197,경기도 파주시 금촌동 329-39,경기도,파주시,금촌동,329-39
subway,월롱역,,37.79563472,126.7927847,,1282,,경의선,,,경기도 파주시 월롱면 위전리 393-4,경기도,파주시 월롱면,위전리,393-4
subway,파주역,,37.814951,126.7927303,,1283,,경의선,,경기도 파주시 파주읍 주라위길 38 파주역,경기도 파주시 파주읍 봉암리 487-4,경기도,파주시 파주읍,봉암리,487-4
subway,문산역,,37.85436846,126.7883014,,1284,,경의선,,경기도 파주시 문산읍 문산역로 94 문산역,경기도 파주시 문산읍 문산리 17-14,경기도,파주시 문산읍,문산리,17-14
subway,갈매역,,37.63371768,127.114654,,1312,,경춘선,,경기도 구리시 경춘북로 229 갈매역사,경기도 구리시 갈매동 502-39,경기도,구리시,갈매동,502-39
subway,별내역,,37.64199332,127.1278098,,1313,,경춘선,,,경기도 남양주시 별내동,경기도,남양주시,별내동,
subway,퇴계원역,,37.64792116,127.1441368,,1314,,경춘선,,경기도 남양주시 퇴계원면 경춘북로 545 퇴계원역,경기도 남양주시 퇴계원면 퇴계원리 218-142,경기도,남양주시 퇴계원면,퇴계원리,218-142
subway,신내역,,37.61318569,127.1032969,,1311,,경춘선,,,서울특별시 중랑구 신내동 60-10,서울특별시,중랑구,신내동,60-10
subway,사릉역,,37.65112036,127.177005,,1315,,경춘선,,,경기도 남양주시 진건읍 사능리 604-1,경기도,남양주시 진건읍,사능리,604-1
subway,금곡역,,37.63701574,127.2075617,,1316,,경춘선,,,경기도 남양주시 금곡동 403-8,경기도,남양주시,금곡동,403-8
